Title,Author,Price,Rating
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read book on spirituality and self-improvement by Sadhguru","Sadhguru",239,4.6
"Doglapan","Ashneer Grover",459,4.4
"Atomic Habits","James Clear",551,4.7
"General Knowledge for All - 2023","RPH Editorial Board",18,
"It Ends with Us","Colleen Hoover",309,4.3
"The Psychology of Money","Morgan Housel",303,4.5
"Ikigai","Francesc Miralles",396,4.0
"Indian Sex Life","Durba Mitra",689,
"Bhagavad Gita: Yatharoop","A.C. Bhaktivedanta Swami Prabhupada",455,4.3
"Power of Your Subconscious Mind","Joseph Murphy",1548,4.0
"How to Read a Book","Mortimer J. Adler",365,4.3
"World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set","Dale Carnegie, Napoleon Hill, Dr. Joseph Murphy & George S. Clason",601,4.5
"It Starts with Us","Colleen Hoover",416,4.8
"Indian Sex Life","Durba Mitra",361,
"The 48 Laws Of Power","Robert Greene",659,4.1
"Norwegian Wood","Haruki Murakami",422,4.7
"Energize Your Mind Learn The Art Of Mastering Your Thoughts, Feelings And Emotions","NA",239,
"My First Book of Patterns: Pencil Control","Wonder House Books Editorial",391,4.3
"Brain Activity Book for Kids - 200+ Activities for Age 3+","Maple Press",75,4.1
"You Can","George Matthew Adams",89,4.4
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read book on spirituality and self-improvement by Sadhguru","Sadhguru",239,4.6
"Doglapan","Ashneer Grover",459,4.4
"Atomic Habits","James Clear",551,4.7
"General Knowledge for All - 2023","RPH Editorial Board",18,
"It Ends with Us","Colleen Hoover",309,4.3
"The Psychology of Money","Morgan Housel",303,4.5
"Ikigai","Francesc Miralles",396,4.0
"Indian Sex Life","Durba Mitra",689,
"Bhagavad Gita: Yatharoop","A.C. Bhaktivedanta Swami Prabhupada",455,4.3
"Power of Your Subconscious Mind","Joseph Murphy",1548,4.0
"How to Read a Book","Mortimer J. Adler",365,4.3
